vesselUri,vessel,vesselType,vesselFlagRaw,country,eventUri,event
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900002,LNS ZEMAITIS,Military,LT,Lithuania,https://thesis.tum.de/baltic-sea-monitoring/instances/event_LTU1001,LTU1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900002,LNS ZEMAITIS,35,LT,Lithuania,https://thesis.tum.de/baltic-sea-monitoring/instances/event_LTU1001,LTU1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900000,ORP GENERAL PULASKI,Military,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1001,POL1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900000,ORP GENERAL PULASKI,Military,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1002,POL1002
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900000,ORP GENERAL PULASKI,35,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1001,POL1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900000,ORP GENERAL PULASKI,35,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1002,POL1002
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900001,ORP ORZEL,Military,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1001,POL1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900001,ORP ORZEL,Military,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1002,POL1002
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900001,ORP ORZEL,35,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1001,POL1001
https://thesis.tum.de/baltic-sea-monitoring/instances/vessel_900001,ORP ORZEL,35,PL,Poland,https://thesis.tum.de/baltic-sea-monitoring/instances/event_POL1002,POL1002
