run_id,experiment_name,provider,llm_model,strategy,ontology_format,include_descriptions,precision,recall,f1,tp,fp,fn,entities_matched,entities_unmatched_gold,entities_unmatched_generated,error
20260815_160929_26266614,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,False,0.6884615384615385,0.683206106870229,0.6858237547892719,179,81,83,57,0,5,
20260815_160929_710c2f90,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,class_list,True,0.516,0.49236641221374045,0.5039062499999999,129,121,133,44,13,18,
20260815_160929_06770929,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,False,0.40384615384615385,0.3977272727272727,0.40076335877862596,105,155,159,36,21,26,
20260815_160929_9556f4aa,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,compact,True,0.43902439024390244,0.549618320610687,0.48813559322033906,144,184,118,44,13,33,
20260815_160929_7367c742,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,False,0.6830065359477124,0.7977099236641222,0.7359154929577466,209,97,53,57,0,15,
20260815_160929_baf08dd9,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,json_ld,True,0.4934210526315789,0.5725190839694656,0.5300353356890459,150,154,112,44,13,28,
20260815_160929_b5a5adb0,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,False,0.6118421052631579,0.7099236641221374,0.657243816254417,186,118,76,57,0,15,
20260815_160929_3aaebb29,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,chain_of_thought,turtle,True,0.7246376811594203,0.7633587786259542,0.7434944237918216,200,76,62,55,2,7,
20260815_160929_ed344fdf,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,False,0.5506329113924051,0.6641221374045801,0.6020761245674741,174,142,88,57,0,22,
20260815_160929_d604df47,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,class_list,True,0.45878136200716846,0.4830188679245283,0.47058823529411764,128,151,137,43,14,25,
20260815_160929_9d4f203c,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,False,0.4228395061728395,0.5229007633587787,0.46757679180887374,137,187,125,44,13,35,
20260815_160929_fcc0ac37,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,compact,True,0.4233128834355828,0.5267175572519084,0.46938775510204084,138,188,124,44,13,35,
20260815_160929_84454f2d,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,False,0.4341317365269461,0.5534351145038168,0.48657718120805366,145,189,117,44,13,35,
20260815_160929_08a0d2a5,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,json_ld,True,0.527027027027027,0.5954198473282443,0.5591397849462365,156,140,106,44,13,25,
20260815_160929_8a3d89c2,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,turtle,False,0.5552147239263804,0.6908396946564885,0.6156462585034014,181,145,81,57,0,22,
20260815_160929_56c8ce7d,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,few_shot,turtle,True,0.7610294117647058,0.7900763358778626,0.7752808988764045,207,65,55,57,0,7,
20260815_160928_cdd91627,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,False,0.5506329113924051,0.6641221374045801,0.6020761245674741,174,142,88,57,0,22,
20260815_160928_dffe87a9,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,class_list,True,0.3860759493670886,0.46564885496183206,0.42214532871972316,122,194,140,44,13,35,
20260815_160928_742e95e9,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,compact,False,0.4506578947368421,0.5229007633587787,0.4840989399293286,137,167,125,44,13,28,
20260815_160928_38de2bfa,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,compact,True,0.36818181818181817,0.3068181818181818,0.3347107438016529,81,139,183,26,31,27,
20260815_160929_747643ec,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,False,0.5688073394495413,0.7099236641221374,0.6315789473684211,186,141,76,57,0,23,
20260815_160928_8eaa1854,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,json_ld,True,0.5485074626865671,0.5610687022900763,0.5547169811320753,147,121,115,44,13,18,
20260815_160928_a6798e83,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,turtle,False,0.6040268456375839,0.6870229007633588,0.6428571428571429,180,118,82,57,0,15,
20260815_160928_8e67b466,2026-08-15-1808-acled-experiment,openrouter,anthropic/claude-opus-5,zero_shot,turtle,True,0.5328467153284672,0.5572519083969466,0.5447761194029851,146,128,116,44,13,20,
20260815_160929_a6bbb476,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,False,0.8421052631578947,0.7245283018867924,0.7789046653144016,192,36,73,54,3,0,
20260815_160929_b5066175,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,class_list,True,0.5630252100840336,0.5114503816793893,0.536,134,104,128,44,13,18,
20260815_160929_cab10b88,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,False,0.5461847389558233,0.5132075471698113,0.5291828793774319,136,113,129,43,14,18,
20260815_160929_9aea2cb5,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,compact,True,0.5846774193548387,0.5534351145038168,0.5686274509803921,145,103,117,44,13,18,
20260815_160929_a891f742,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,False,0.4417808219178082,0.49236641221374045,0.4657039711191336,129,163,133,44,13,32,
20260815_160929_a73c7dbf,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,json_ld,True,0.4319526627218935,0.5572519083969466,0.48666666666666664,146,192,116,44,13,33,
20260815_160929_71dcaf9b,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,chain_of_thought,turtle,False,0.4568345323741007,0.4847328244274809,0.4703703703703703,127,151,135,44,13,28,
20260815_160929_cea32238,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,False,0.7230215827338129,0.767175572519084,0.7444444444444444,201,77,61,57,0,15,
20260815_160929_f8aefe1b,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,class_list,True,0.4470198675496689,0.5152671755725191,0.47872340425531923,135,167,127,44,13,33,
20260815_160929_66d5f74f,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,False,0.409375,0.5,0.4501718213058419,131,189,131,44,13,39,
20260815_160929_5c2d0d58,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,compact,True,0.5070921985815603,0.5458015267175572,0.525735294117647,143,139,119,44,13,27,
20260815_160929_314da98d,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,False,0.409375,0.5,0.4501718213058419,131,189,131,44,13,39,
20260815_160929_950b4bc7,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,json_ld,True,0.5340909090909091,0.5381679389312977,0.5361216730038022,141,123,121,44,13,22,
20260815_160929_0b9b3a15,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,turtle,False,0.5411392405063291,0.6526717557251909,0.5916955017301038,171,145,91,54,3,25,
20260815_160929_a8fe8913,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,few_shot,turtle,True,0.46688741721854304,0.5381679389312977,0.5,141,161,121,44,13,33,
20260815_160929_fb719f27,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,zero_shot,class_list,False,0.6801470588235294,0.7061068702290076,0.6928838951310862,185,87,77,55,2,15,
20260815_160929_a764c3f3,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,zero_shot,class_list,True,0.5887445887445888,0.5132075471698113,0.5483870967741936,136,95,129,43,14,18,
20260815_160929_89764ad3,2026-08-15-1808-acled-experiment,openrouter,moonshotai/kimi-k3,zero_shot,compact,False,0.5551020408163265,0.5132075471698113,0.5333333333333334,136,109,129,43,14,20,
