aircraft,callsign,squawk,altitudeMetres,eventUri,event,aircraftLat,aircraftLon,eventLat,eventLon,distanceKm2
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,232.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.345,18.63,54.352,18.6466,1.7714559776
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,232.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.345,18.63,54.352,18.6466,1.7714559776
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,251.9,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.345,18.63,54.352,18.6466,1.7714559776
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,251.9,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.345,18.63,54.352,18.6466,1.7714559776
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4d02f4,RCH285,7775,688.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/LTU1001,LTU1001,55.718,21.16,55.7033,21.1443,3.719238301216
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4d02f4,RCH285,7775,688.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/LTU1002,LTU1002,55.718,21.16,55.7033,21.1443,3.719238301216
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4d02f4,RCH285,7775,703.4,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/LTU1001,LTU1001,55.718,21.16,55.7033,21.1443,3.719238301216
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4d02f4,RCH285,7775,703.4,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/LTU1002,LTU1002,55.718,21.16,55.7033,21.1443,3.719238301216
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,505.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.3801,18.612,54.352,18.6466,14.842960560464
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,505.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.3801,18.612,54.352,18.6466,14.842960560464
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,521.3,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.3801,18.612,54.352,18.6466,14.842960560464
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,521.3,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.3801,18.612,54.352,18.6466,14.842960560464
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,430.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.401,18.71,54.352,18.6466,46.7361749024
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,430.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.401,18.71,54.352,18.6466,46.7361749024
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,452.6,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.401,18.71,54.352,18.6466,46.7361749024
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,452.6,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.401,18.71,54.352,18.6466,46.7361749024
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4841b9,FALCON03,7776,1180.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.29,18.55,54.352,18.6466,87.0612363856
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4841b9,FALCON03,7776,1180.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.29,18.55,54.352,18.6466,87.0612363856
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4841b9,FALCON03,7776,1204.7,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1001,POL1001,54.29,18.55,54.352,18.6466,87.0612363856
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4841b9,FALCON03,7776,1204.7,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1003,POL1003,54.29,18.55,54.352,18.6466,87.0612363856
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,505.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.3801,18.612,54.5189,18.5305,266.803582128656
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3f7a21,VIPER12,7777,521.3,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.3801,18.612,54.5189,18.5305,266.803582128656
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,430.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.401,18.71,54.5189,18.5305,308.386416388384
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_ab58b2,VIPER11,7777,452.6,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.401,18.71,54.5189,18.5305,308.386416388384
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,232.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.345,18.63,54.5189,18.5305,416.581936918304
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_3e1f88,VIPER13,7777,251.9,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.345,18.63,54.5189,18.5305,416.581936918304
https://thesis.tum.de/baltic-sea-monitoring/instances/aircraft_4841b9,FALCON03,7776,1180.0,https://thesis.tum.de/baltic-sea-monitoring/instances/https%3A//thesis.tum.de/baltic-sea-monitoring/event/POL1002,POL1002,54.29,18.55,54.5189,18.5305,650.895459647904
